% Model,EigenRadiusSweep_Al&_DoubleZotefoamContactModel_2.5to5.5GHz.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 8 2025, 10:29"
% Table,Table 1 - 
% r_zotefoam (m),search_freq (Hz),Eigenfrequency (GHz),Frequency (GHz),Quality factor (1)
0.01905625,3.0E9,2.9128890941608665+0.127745139656519i,2.9128890941608665,11.401173860676968
0.01905625,3.0E9,2.9129043449144336+0.12489679078947867i,2.9129043449144336,11.661245763409228
0.01905625,3.0E9,2.9162896873735296+0.20194421171685592i,2.9162896873735296,7.220532994187602
0.01905625,3.0E9,2.9171726426603666+0.20038369261062078i,2.9171726426603666,7.278967177056977
0.01905625,3.0E9,2.919560769014731+0.20374022458406937i,2.919560769014731,7.164910058813722
0.01905625,3.0E9,2.9206572175558607+0.19914004172519936i,2.9206572175558607,7.333174162899349
0.01905625,3.0E9,2.9236671528263005+0.2093230346985839i,2.9236671528263005,6.983624991478492
0.01905625,3.0E9,2.92377244707327+0.1762243033908185i,2.92377244707327,8.295599389004598
0.01905625,3.0E9,2.923970587749623+0.19282188207242676i,2.923970587749623,7.58205074113771
0.01905625,3.0E9,2.9247570225222894+0.17736820763422093i,2.9247570225222894,8.244873930715626
0.01905625,3.0E9,2.924887155415854+0.14171802485490487i,2.924887155415854,10.319390064920961
0.01905625,3.0E9,2.9250124680610834+0.17870105071210624i,2.9250124680610834,8.184094207631109
0.01905625,3.0E9,2.925369690153626+0.19254777520080527i,2.925369690153626,7.59647751604193
0.01905625,3.0E9,2.9257167365319305+0.14139309397936295i,2.9257167365319305,10.346038318388288
0.01905625,3.0E9,2.925873948456846+0.21080223736664455i,2.925873948456846,6.939855062752313
0.01905625,3.0E9,2.9262890328542364+0.20863594760238904i,2.9262890328542364,7.012907091233994
0.01905625,3.0E9,2.9263618928689636+0.19519769148575355i,2.9263618928689636,7.495892678327456
0.01905625,3.0E9,2.9265123670155573+0.1456883839064846i,2.9265123670155573,10.043739550622123
0.01905625,3.0E9,2.926748011433838+0.0458362817401963i,2.926748011433838,31.926106354163704
0.01905625,3.0E9,2.9269941139248172+0.18025544790435283i,2.9269941139248172,8.119017061492475
