% Model,EigenRadiusSweep_Al&ZotefoamContactModel_2.5to5.5GHz.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 3 2025, 11:13"
% Table,Table 1 - 
% r_zotefoam (m),search_freq (Hz),Eigenfrequency (GHz),Frequency (GHz),Quality factor (1)
0.01905625,2.5E9,2.5738199262098815+0.1435827655570115i,2.5738199262098815,8.962844239087703
0.01905625,2.5E9,2.5747341854919332+0.22034049388419835i,2.5747341854919332,5.842625974245807
0.01905625,2.5E9,2.576397746598674+0.1277759263266362i,2.576397746598674,10.08170247974793
0.01905625,2.5E9,2.5769406173285816+0.12912738201340238i,2.5769406173285816,9.978288791842447
0.01905625,2.5E9,2.5774586108782747+0.12789755029735417i,2.5774586108782747,10.076262621472566
0.01905625,2.5E9,2.577703549807084+0.1291986254154891i,2.577703549807084,9.975739066563062
0.01905625,2.5E9,2.5798228289663663+0.17194144274446366i,2.5798228289663663,7.502039030812523
0.01905625,2.5E9,2.580344194977743+0.17419476937360212i,2.580344194977743,7.406491607803621
0.01905625,2.5E9,2.58043006378752+0.17279859379183105i,2.58043006378752,7.46658293671111
0.01905625,2.5E9,2.580585735127367+0.17508272031059144i,2.580585735127367,7.369618573864646
0.01905625,2.5E9,2.59125922611023+0.023198049725073583i,2.59125922611023,55.850799028796615
0.01905625,2.5E9,2.591276614469764+0.1668720611734071i,2.591276614469764,7.764261423537543
0.01905625,2.5E9,2.5924415096488236+0.16635870357064475i,2.5924415096488236,7.791721905755098
0.01905625,2.5E9,2.5926984271297706+0.21658806068763548i,2.5926984271297706,5.985321672160348
0.01905625,2.5E9,2.592836809591447+0.02333804307721116i,2.592836809591447,55.549576307948186
0.01905625,2.5E9,2.5931609988100086+0.21556866595340535i,2.5931609988100086,6.01469834992279
0.01905625,2.5E9,2.593188646766102+0.16865485450443005i,2.593188646766102,7.687856523270093
0.01905625,2.5E9,2.593893218085277+0.21689375434198305i,2.593893218085277,5.979640183634348
0.01905625,2.5E9,2.594292867442377+0.21570800530662024i,2.594292867442377,6.013436691314943
0.01905625,2.5E9,2.594427457376039+0.1680596559209117i,2.594427457376039,7.718769395187169
0.01905625,2.5E9,2.5966877802358264+0.21195465692988386i,2.5966877802358264,6.125573785092227
0.01905625,2.5E9,2.598377756727063+0.21122317489459372i,2.598377756727063,6.150787568702455
0.01905625,2.5E9,2.6029210861472087+0.174085073661514i,2.6029210861472087,7.476003058160671
0.01905625,2.5E9,2.6047051263883922+0.17710609028703334i,2.6047051263883922,7.353516533979671
0.01905625,2.5E9,2.614922717900675+0.21022612612832542i,2.614922717900675,6.219309574073786
0.01905625,2.5E9,2.619131879900963+0.19470180691361502i,2.619131879900963,6.726008149125742
0.01905625,2.5E9,2.6199445957795375+0.19546455947067223i,2.6199445957795375,6.701840484214832
0.01905625,2.5E9,2.621126836263972+0.19341883284510436i,2.621126836263972,6.775779787594546
0.01905625,2.5E9,2.6223296338182176+0.19450846605019523i,2.6223296338182176,6.7409138714339925
0.01905625,2.5E9,2.6245415068702376+0.03712362594411503i,2.6245415068702376,35.34866867289791
0.01905625,2.5E9,2.62676745192515+0.19779929458849227i,2.62676745192515,6.6399818497582554
0.01905625,2.5E9,2.629079994907407+0.19912214573872217i,2.629079994907407,6.601676536664964
0.01905625,2.5E9,2.6294543330417284+0.1812049641798519i,2.6294543330417284,7.255469917567789
0.01905625,2.5E9,2.6296287695749054+0.18129539406360395i,2.6296287695749054,7.252331983272425
0.01905625,2.5E9,2.6299000563022297+0.18385459742422847i,2.6299000563022297,7.152119373533979
0.01905625,2.5E9,2.6301363852940964+0.18338579073489367i,2.6301363852940964,7.171047371647995
0.01905625,2.5E9,2.6408810693721856+0.16777911788356i,2.6408810693721856,7.870112510679002
0.01905625,2.5E9,2.641047629824807+0.16810077574788268i,2.641047629824807,7.855548607895321
0.01905625,2.5E9,2.641227835663414+0.16821175663067506i,2.641227835663414,7.850901413099446
0.01905625,2.5E9,2.64140137478992+0.1679825804603012i,2.64140137478992,7.862128821786238
0.01905625,2.5E9,2.6463916873745963+0.1892805432995665i,2.6463916873745963,6.990659581915562
0.01905625,2.5E9,2.659715267760786+0.03465374049094837i,2.659715267760786,38.37558702292916
0.01905625,2.5E9,2.660931318329143+0.034695191223509114i,2.660931318329143,38.34726405148219
0.01905625,2.5E9,2.6692204194777505+0.04922220337644236i,2.6692204194777505,27.113987554194228
0.01905625,2.5E9,2.670848915562458+0.15620666945232606i,2.670848915562458,8.549087324269454
0.01905625,2.5E9,2.6717484493289514+0.15727774671412778i,2.6717484493289514,8.493726878555783
0.01905625,2.5E9,2.67543186448036+0.15574950129027207i,2.67543186448036,8.588893840161091
0.01905625,2.5E9,2.675688723478399+0.15800822834703387i,2.675688723478399,8.466928436162759
0.01905625,2.5E9,2.677224284882381+0.05287893845898951i,2.677224284882381,25.314656107920115
0.01905625,2.5E9,2.6783966913982016+0.05334012320420167i,2.6783966913982016,25.10677263665582
0.01905625,2.5E9,2.6805180519901546+0.14108683431714147i,2.6805180519901546,9.499532911642069
0.01905625,2.5E9,2.680724721801436+0.14067244294275544i,2.680724721801436,9.528251112025961
0.01905625,2.5E9,2.6809575092309257+0.14146336651292502i,2.6809575092309257,9.475801316328692
0.01905625,2.5E9,2.6809826265970425+0.1418600627386104i,2.6809826265970425,9.449391797947348
0.01905625,2.5E9,2.6872292757578182+5.663853564028876E-4i,2.6872292757578182,2372.2623169712638
0.01905625,2.5E9,2.6878253383639685+0.1447723869079488i,2.6878253383639685,9.282935080959117
0.01905625,2.5E9,2.6880806900326784+0.1441547423772127i,2.6880806900326784,9.323594374019002
0.01905625,2.5E9,2.688324664393499+5.728269750179939E-4i,2.688324664393499,2346.5416099766007
0.01905625,2.5E9,2.688722489522334+0.12650465865296343i,2.688722489522334,10.626970256084515
0.01905625,2.5E9,2.6891179048349185+0.12805720546515573i,2.6891179048349185,10.499674325497542
0.01905625,2.5E9,2.689169771637948+0.14665366190240534i,2.689169771637948,9.16843717624838
0.01905625,2.5E9,2.6895214404894325+0.12741057271664682i,2.6895214404894325,10.55454576156235
0.01905625,2.5E9,2.689911864788927+0.12889307493681113i,2.689911864788927,10.43466402716995
0.01905625,2.5E9,2.7056974311055724+0.029850308333625588i,2.7056974311055724,45.321096868833266
0.01905625,2.5E9,2.7064639339484717+0.02958599097685714i,2.7064639339484717,45.738943408478896
0.01905625,2.5E9,2.709573942168384+0.03501867814136398i,2.709573942168384,38.687553128509464
0.01905625,2.5E9,2.7100229421767033+0.035077132149605304i,2.7100229421767033,38.629482744175775
0.01905625,2.5E9,2.7133606255916707+0.046834735740538584i,2.7133606255916707,28.96739548850573
0.01905625,3.0E9,2.8038998999646694+0.013158248387195544i,2.8038998999646694,106.54533253427485
0.01905625,3.0E9,2.805138750875588+0.01319021010302187i,2.805138750875588,106.33411935693624
0.01905625,3.0E9,2.8676431558326936+0.03586800535193833i,2.8676431558326936,39.97494602355585
0.01905625,3.0E9,2.867963659197385+0.03576360044823046i,2.867963659197385,40.09612599476527
0.01905625,3.0E9,2.872341637841935+1.3317170707494134E-4i,2.872341637841935,10784.35390268575
0.01905625,3.0E9,2.8735984697014167+1.3653858106055244E-4i,2.8735984697014167,10523.02743803609
0.01905625,3.0E9,2.8965721701451503+0.13712802185060025i,2.8965721701451503,10.561561856776946
0.01905625,3.0E9,2.896815721903543+0.13815965983692793i,2.896815721903543,10.483580103348189
0.01905625,3.0E9,2.897652879819166+0.026824969622265576i,2.897652879819166,54.010366472400804
0.01905625,3.0E9,2.897928418400477+0.13772519977047892i,2.897928418400477,10.520690560732232
0.01905625,3.0E9,2.89828034371432+0.13890246257367256i,2.89828034371432,10.432789635306499
0.01905625,3.0E9,2.8985085208248917+0.0268912505051848i,2.8985085208248917,53.893152352026945
0.01905625,3.0E9,2.902918292624039+0.1531822670018575i,2.902918292624039,9.475373192475464
0.01905625,3.0E9,2.9033568555518525+0.15503157533456502i,2.9033568555518525,9.363759767280566
0.01905625,3.0E9,2.904005557136212+0.15271067515224018i,2.904005557136212,9.508194349351
0.01905625,3.0E9,2.904812469390947+0.15512340436719663i,2.904812469390947,9.362908457433317
0.01905625,3.0E9,2.9088807231027207+0.016151566281796727i,2.9088807231027207,90.0494934160383
0.01905625,3.0E9,2.908986012584535+0.015874381898893095i,2.908986012584535,91.625174167801
0.01905625,3.0E9,2.9128751166987965+0.12518583152153093i,2.9128751166987965,11.63420445147503
0.01905625,3.0E9,2.913435919431438+0.12649559301592564i,2.913435919431438,11.515958184664346
0.01905625,3.0E9,2.9144492314953085+0.12587798447920942i,2.9144492314953085,11.576485131824905
0.01905625,3.0E9,2.914539361438817+0.128349644064418i,2.914539361438817,11.35390511864616
0.01905625,3.0E9,2.9147790736350645+0.20106851324248382i,2.9147790736350645,7.248223569743887
0.01905625,3.0E9,2.917315948697774+0.20583478610929395i,2.917315948697774,7.086547429229821
0.01905625,3.0E9,2.918756584510537+0.1976424874450328i,2.918756584510537,7.383929999672477
0.01905625,3.0E9,2.9232799797703226+0.20344010136609444i,2.9232799797703226,7.1846208297690115
0.01905625,3.0E9,2.9232897780170695+0.1772286662595066i,2.9232897780170695,8.247226139299187
0.01905625,3.0E9,2.9246860229879403+0.1417164894399615i,2.9246860229879403,10.318792239864896
0.01905625,3.0E9,2.9246895983887424+0.17702347176998434i,2.9246895983887424,8.260739576356691
0.01905625,3.0E9,2.925126463514167+0.19161027852215812i,2.925126463514167,7.633010311542083
0.01905625,3.0E9,2.925642097685374+0.17992337501677697i,2.925642097685374,8.13024460388366
0.01905625,3.0E9,2.9261209400600383+0.14612375103447758i,2.9261209400600383,10.012475450926615
0.01905625,3.0E9,2.926277681491292+0.193190550295579i,2.926277681491292,7.573552839448218
0.01905625,3.0E9,2.926396821905131+0.14147073070172284i,2.926396821905131,10.342764214864882
0.01905625,3.0E9,2.926427770434592+0.2092356541939i,2.926427770434592,6.993138386736548
0.01905625,3.0E9,2.926833457721595+0.17943125353534845i,2.926833457721595,8.155863039615339
0.01905625,3.0E9,2.926893052947584+0.194799471620043i,2.926893052947584,7.512579548101901
0.01905625,3.0E9,2.9272299081546405+0.19801746407772386i,2.9272299081546405,7.391342783295297
0.01905625,3.0E9,2.927362242109622+0.14519007538951784i,2.927362242109622,10.08113755108969
0.01905625,3.0E9,2.9278292142594102+0.04501265161983149i,2.9278292142594102,32.522292165626155
